STNAME,STCODE11,STNAME_SH,Shape_Length,Shape_Area,OBJECTID_1,OBJECTID,State_LGD,Shape_Leng,MaxSimpTol,MinSimpTol,Vulnerability_Index,India_States_Rank
ARUNACHAL PRADESH,12,Arunachal Pradesh,2937126.703,1.05782E+11,1,1,12,2937126.703,300,300,0.408,8
ASSAM,18,Assam,3409653.587,98168754006,2,2,18,3409653.587,300,300,0.616,1
CHANDIGARH,4,Chandigarh,65711.23176,156198147.4,3,3,4,65711.23176,300,300,0,0
CHHATTISGARH,22,Chhattisgarh,3449517.907,1.5654E+11,4,4,22,3449517.907,300,300,0.087,26
DELHI,7,Delhi,260992.2247,1932518619,5,5,7,260992.2247,300,300,0.29,15
GOA,30,Goa,433305.0268,3921761525,6,6,30,433305.0268,300,300,0.101,25
HARYANA,6,Haryana,2786069.965,58211653271,7,7,6,2786069.965,300,300,0.116,24
HIMACHAL PRADESH,2,Himachal Pradesh,1904854.626,77561573772,8,8,2,1904854.626,300,300,0.329,13
JHARKHAND,20,Jharkhand,3154498.778,95648781166,9,9,20,3154498.778,300,300,0.067,27
KARNATAKA,29,Karnataka,4583107.839,2.06392E+11,10,10,29,4583107.839,300,300,0.465,4
MANIPUR,14,Manipur,996284.3893,27180700633,11,11,14,996284.3893,300,300,0.424,6
MEGHALAYA,17,Meghalaya,1276185.3,27649509239,12,12,17,1276185.3,300,300,0,28
MIZORAM,15,Mizoram,1154948.209,25128260698,13,13,15,1154948.209,300,300,0,0
NAGALAND,13,Nagaland,1075385.606,20628189321,14,14,13,1075385.606,300,300,0.365,11
PUNJAB,3,Punjab,2109547.336,68536515071,15,15,3,2109547.336,300,300,0,28
RAJASTHAN,8,Rajasthan,5874266.042,4.29937E+11,16,16,8,5874266.042,300,300,0.423,7
SIKKIM,11,Sikkim,501580.1715,9077726166,17,17,11,501580.1715,300,300,0.37,9
TRIPURA,16,Tripura,963810.953,12469658003,18,18,16,963810.953,300,300,0.25,19
UTTARAKHAND,5,Uttarakhand,1867917.373,71686666114,19,19,5,1867917.373,300,300,0.19,21
TELANGANA,36,Telangana,2571619.681,1.24345E+11,20,20,36,2571619.681,300,300,0,0
ANDAMAN & NICOBAR,35,Andaman & Nicobar,4249865.169,7613319404,21,21,35,4249865.169,300,300,0,28
BIHAR,10,Bihar,3102533.926,1.16477E+11,22,22,10,3102533.926,300,300,0.448,5
GUJARAT,24,Gujarat,5513939.865,2.18638E+11,23,23,24,5513939.866,300,300,0.28,16
KERALA,32,Kerala,1810253.234,40407361013,24,24,32,1810253.234,300,300,0.226,20
LAKSHADWEEP,31,Lakshadweep,138029.0807,28091119.88,25,25,31,138029.0807,300,300,0,28
MADHYA PRADESH,23,Madhya Pradesh,7656000.886,3.68608E+11,26,26,23,7656000.886,300,300,0.182,22
ODISHA,21,Odisha,3709476.412,1.78356E+11,27,27,21,3709476.412,300,300,0.368,10
TAMIL NADU,33,Tamil Nadu,3413289.929,1.36046E+11,28,28,33,3413289.929,300,300,0.339,12
UTTAR PRADESH,9,Uttar Pradesh,6507259.007,3.04639E+11,29,29,9,6507259.007,300,300,0.269,17
WEST BENGAL,19,West Bengal,7039218.897,1.02289E+11,30,30,19,7039218.897,300,300,0.257,18
ANDHRA PRADESH,37,Andhra Pradesh,5257128.933,1.77308E+11,31,31,28,5257128.933,300,300,0.483,2
PUDUCHERRY,34,Puducherry,510322.7919,528748483.8,32,32,34,510322.7919,300,300,0.175,23
MAHARASHTRA,27,Maharashtra,5906415.617,3.47878E+11,33,33,27,5906415.617,300,300,0.478,3
DAMAN & DIU,25,Daman & Diu,87100.0502,105502234,34,34,25,87100.0502,300,300,0,28
DADRA & NAGAR HAVELI,26,Dadra & Nagar Haveli,204333.1828,566187457.3,35,35,26,204333.1828,300,300,0,28
LADAKH,38,Ladakh,3649905.514,2.51818E+11,36,36,37,3649905.514,300,300,0,28
JAMMU & KASHMIR,1,Jammu & Kashmir,1683035.893,77283345332,37,37,1,1683035.893,300,300,0.328,14
